,response,context,context/0,context/1,context/2,context/3
208,alright keep going 'til i find a lake right,okay keep going 'til you find a lake,no i don't see a nuclear test site,now do you see a nuclear test site,uh-huh,okay you keep going up there
209,okay,alright keep going 'til i find a lake right,okay keep going 'til you find a lake,no i don't see a nuclear test site,now do you see a nuclear test site,uh-huh
210,i've got to a lake,okay,alright keep going 'til i find a lake right,okay keep going 'til you find a lake,no i don't see a nuclear test site,now do you see a nuclear test site
211,now you turn left towards the middle of the page,i've got to a lake,okay,alright keep going 'til i find a lake right,okay keep going 'til you find a lake,no i don't see a nuclear test site
212,uh-huh right,now you turn left towards the middle of the page,i've got to a lake,okay,alright keep going 'til i find a lake right,okay keep going 'til you find a lake
213,and you should finish just past the the lake,uh-huh right,now you turn left towards the middle of the page,i've got to a lake,okay,alright keep going 'til i find a lake right
214,finish just past the lake,and you should finish just past the the lake,uh-huh right,now you turn left towards the middle of the page,i've got to a lake,okay
215,yes,finish just past the lake,and you should finish just past the the lake,uh-huh right,now you turn left towards the middle of the page,i've got to a lake
216,uh-huh,yes,finish just past the lake,and you should finish just past the the lake,uh-huh right,now you turn left towards the middle of the page
217,okay and that's you,uh-huh,yes,finish just past the lake,and you should finish just past the the lake,uh-huh right
218,is it,okay and that's you,uh-huh,yes,finish just past the lake,and you should finish just past the the lake
219,aye quite why you want to go there i don't know but,is it,okay and that's you,uh-huh,yes,finish just past the lake
220,i know i've had i've had two detours wrong,aye quite why you want to go there i don't know but,is it,okay and that's you,uh-huh,yes
221,ah we better score them out then,i know i've had i've had two detours wrong,aye quite why you want to go there i don't know but,is it,okay and that's you,uh-huh
222,aye that's wrong,ah we better score them out then,i know i've had i've had two detours wrong,aye quite why you want to go there i don't know but,is it,okay and that's you
